,Year,Annual Emissions
0,1751,2157814.153846154
1,1752,2158659.6923076925
2,1753,2158659.6923076925
3,1754,2159505.230769231
4,1755,2160350.769230769
5,1756,2309165.5384615385
6,1757,2310011.076923077
7,1758,2310856.6153846155
8,1759,2311702.153846154
9,1760,2311702.153846154
10,1761,2532387.6923076925
11,1762,2533233.230769231
12,1763,2534078.769230769
13,1764,2534924.3076923075
14,1765,2535769.846153846
15,1766,2829171.6923076925
16,1767,2830017.230769231
17,1768,2830862.769230769
18,1769,2831708.3076923075
19,1770,2832553.846153846
20,1771,3141175.3846153845
21,1772,3142020.923076923
22,1773,3142866.4615384615
23,1774,3143712.0
24,1775,3144557.5384615385
25,1776,3470089.846153846
26,1777,3470935.3846153845
27,1778,3471780.923076923
28,1779,3472626.4615384615
29,1780,3474317.5384615385
30,1781,3886940.3076923075
31,1782,3887785.846153846
32,1783,3889476.923076923
33,1784,3890322.4615384615
34,1785,3614797.714285714
35,1786,4103941.714285714
36,1787,4105512.0
37,1788,4106297.1428571427
38,1789,4107867.4285714286
39,1790,4109437.714285714
40,1791,4589945.142857143
41,1792,4379212.8
42,1793,4382876.8
43,1794,4376281.6
44,1795,4378480.0
45,1796,4590259.2
46,1797,4818892.8
47,1798,5018947.2
48,1799,5285686.4
49,1800,5251428.0
50,1801,5225780.0
51,1802,6114401.777777778
52,1803,5885529.0
53,1804,6035039.05882353
54,1805,6244830.0
55,1806,6550316.0
56,1807,6485064.470588235
57,1808,6550087.0
58,1809,6554209.0
59,1810,6571922.823529412
60,1811,6958798.117647059
61,1812,7208165.647058823
62,1813,7243512.470588235
63,1814,7401495.529411765
64,1815,7639008.94117647
65,1816,8372455.529411765
66,1817,8680878.11764706
67,1818,8714716.235294119
68,1819,8282268.444444444
69,1820,8403994.666666666
70,1821,8526535.111111112
71,1822,8862808.888888888
72,1823,9374954.666666666
73,1824,9697793.777777778
74,1825,10062972.444444444
75,1826,10163528.888888888
76,1827,10905488.888888888
77,1828,11017648.0
78,1829,10388982.736842105
79,1830,12057724.363636363
80,1831,11422686.545454545
81,1832,12014081.523809524
82,1833,12232176.761904761
83,1834,11912496.727272727
84,1835,12137333.090909092
85,1836,14072424.727272727
86,1837,14034952.0
87,1838,14504443.636363637
88,1839,14318274.782608695
89,1840,15257373.913043479
90,1841,15723498.43478261
91,1842,16590910.608695652
92,1843,16283274.0
93,1844,17290568.666666668
94,1845,18934636.0
95,1846,18426988.8
96,1847,20085315.2
97,1848,20186441.6
98,1849,21292529.92
99,1850,21952996.923076924
100,1851,22868782.72
101,1852,23832561.28
102,1853,24854377.6
103,1854,29285326.08
104,1855,29674003.2
105,1856,31666193.28
106,1857,31936303.36
107,1858,30009517.037037037
108,1859,31775022.222222224
109,1860,30452094.967741936
110,1861,32155382.19354839
111,1862,32713610.322580647
112,1863,34779042.58064516
113,1864,37480001.548387095
114,1865,38669169.0
115,1866,39878747.0
116,1867,42480301.5
117,1868,42094807.75757576
118,1869,44490841.696969695
119,1870,44033520.941176474
120,1871,46840899.294117644
121,1872,51474027.294117644
122,1873,54550170.823529415
123,1874,50919685.64705882
124,1875,55518652.23529412
125,1876,58134800.484848484
126,1877,58937105.45454545
127,1878,55960586.057142854
128,1879,56184667.24324324
129,1880,63514944.86486486
130,1881,65532224.432432435
131,1882,70751229.33333333
132,1883,73068181.1891892
133,1884,71691945.26315789
134,1885,72154187.78947368
135,1886,72995557.89473684
136,1887,74545771.07692307
137,1888,81706730.25641026
138,1889,82631843.28205128
139,1890,86869867.6
140,1891,88482740.29268293
141,1892,84273022.51162791
142,1893,82907884.27906977
143,1894,86855886.88372093
144,1895,89235887.27272727
145,1896,90432405.33333333
146,1897,94677352.8888889
147,1898,99384208.71111111
148,1899,105477479.6521739
149,1900,111045724.17391305
150,1901,111486866.72340426
151,1902,109212773.2244898
152,1903,115708387.2
153,1904,117223597.76
154,1905,124144600.64
155,1906,132590214.85714285
156,1907,146353570.24
157,1908,137147254.46153846
158,1909,144029253.6470588
159,1910,147430411.3846154
160,1911,150589765.84615386
161,1912,160448787.1372549
162,1913,164097193.1851852
163,1914,148651397.62962964
164,1915,142823652.65454546
165,1916,148016407.85964912
166,1917,151008159.1724138
167,1918,148136278.06896552
168,1919,130946988.91228071
169,1920,147220699.93220338
170,1921,128435291.2
171,1922,137854398.1016949
172,1923,151938130.98305085
173,1924,150541806.95081967
174,1925,153617902.13333333
175,1926,147770219.2
176,1927,162140048.78688523
177,1928,148058904.11940297
178,1929,159194729.79104477
179,1930,144969069.6470588
180,1931,124304812.39436619
181,1932,108036208.86486487
182,1933,108853395.32467532
183,1934,119937472.42105263
184,1935,122542480.0
185,1936,133474493.74358974
186,1937,143696724.92307693
187,1938,136952710.15384614
188,1939,142124890.32911393
189,1940,157539818.38961038
190,1941,152553127.90123457
191,1942,158991576.2051282
192,1943,159700569.6
193,1944,158262816.0
194,1945,121354986.53658536
195,1946,136390545.38271606
196,1947,143395295.43529412
197,1948,147306108.3218391
198,1949,139228253.66292134
199,1950,96046342.51428571
200,1951,103042905.87234043
201,1952,103752920.33802816
202,1953,105821008.8951049
203,1954,107817525.55555555
204,1955,114516686.05405405
205,1956,121058732.13422818
206,1957,122532813.78947368
207,1958,121076926.37974684
208,1959,114777907.70527363
209,1960,120635253.24865672
210,1961,121616842.6309406
211,1962,125787796.48014706
212,1963,132424160.02941462
213,1964,137991939.17764422
214,1965,144177644.3587981
215,1966,151030054.40466344
216,1967,156194185.12317306
217,1968,165300345.9714493
218,1969,174635976.48706728
219,1970,182168429.76401868
220,1971,188627535.96265116
221,1972,195330080.97537038
222,1973,206090398.8748148
223,1974,206871773.21671295
224,1975,206161792.46185187
225,1976,218180095.13050926
226,1977,224378689.67666668
227,1978,227992639.68921298
228,1979,239585716.1150926
229,1980,238214196.88652778
230,1981,229074316.27174312
231,1982,227521890.61577982
232,1983,227022130.4688991
233,1984,235464190.26069126
234,1985,242968651.80986175
235,1986,249138233.86917052
236,1987,254278879.16009176
237,1988,263128518.09876147
238,1989,268246770.90903673
239,1990,261433524.43937498
240,1991,262083819.8292
241,1992,255888042.37
242,1993,255152849.9169469
243,1994,256616006.38823786
244,1995,261272100.3576652
245,1996,266925180.49462554
246,1997,270249725.93982375
247,1998,270728901.19969165
248,1999,270931549.7097357
249,2000,278158958.1085022
250,2001,283092974.5192105
251,2002,285524286.9279913
252,2003,299558443.9931878
253,2004,312704784.89196503
254,2005,322816209.1631005
255,2006,333261050.72506547
256,2007,337814893.48865217
257,2008,348949694.06104803
258,2009,343550283.439214
259,2010,359742759.2155895
260,2011,372242838.15611356
261,2012,385114645.90066665
262,2013,386699762.4425778
263,2014,389426494.7828889
264,2015,394984449.9926126
265,2016,397520799.695
266,2017,403030409.1433784
